departamento,municipio,ubicacion,altitud
santander,cimitarra,"(6.31666667, -73.95)",200
antioquia,urrao,"(6.33333333, -76.16666667)",1875
boyacá,boavita,"(6.33333333, -72.6)",20
antioquia,san rafael,"(6.34888889, -75.00277778)",116
santander,chima (santander),"(6.355, -73.36833333)",190
santander,confines,"(6.35527778, -73.23972222)",1523
arauca,saravena,"(6.362, -72.28201667)",4378
antioquia,girardota,"(6.36833333, -75.45361111)",1600
boyacá,el cocuy,"(6.37511111, -72.419)",3409
antioquia,alejandría,"(6.37625, -75.14338889)",1712
antioquia,anzá,"(6.35, -75.83333333)",475
antioquia,medellín,"(6.35, -75.68333333)",2510
santander,ocamonte,"(6.35, -73.11666667)",1400
santander,chima (santander),"(6.355, -73.36833333)",190
antioquia,urrao,"(6.35638889, -76.15805556)",1850
antioquia,anzá,"(6.36666667, -75.86666667)",480
santander,chima (santander),"(6.36666667, -73.36666667)",1200
antioquia,alejandría,"(6.38333333, -75.15)",1700
antioquia,san rafael,"(6.38333333, -74.98333333)",1340
antioquia,santa fe de antioquia,"(6.41797222, -75.81925)",466
antioquia,alejandría,"(6.38458333, -74.99677778)",1700
antioquia,puerto berrío,"(6.39355556, -74.68180556)",975
antioquia,concepción (antioquia),"(6.39694444, -75.25916667)",1280
santander,onzaga,"(6.39741667, -72.81719444)",1800
antioquia,bello,"(6.39972222, -75.60722222)",2600
antioquia,caicedo,"(6.40597222, -75.98127778)",550
boyacá,el cocuy,"(6.40822222, -72.44544444)",2749
boyacá,guicán,"(6.41008333, -72.37519444)",3716
santander,cimitarra,"(6.4125, -73.89972222)",140
antioquia,anzá,"(6.4, -75.83333333)",450
antioquia,alejandría,"(6.4, -75.1)",890
boyacá,el cocuy,"(6.40822222, -72.44544444)",2749
antioquia,santa fe de antioquia,"(6.41666667, -75.81666667)",500
santander,páramo,"(6.41666667, -73.16666667)",1353
antioquia,vigia del fuerte,"(6.42, -76.77927778)",18
santander,san joaquín,"(6.42641667, -72.87383333)",20
antioquia,san jerónimo,"(6.427, -75.71775)",1600
santander,valle de san josé,"(6.44111111, -73.14277778)",1300
santander,simacota,"(6.44361111, -73.33388889)",150
santander,socorro,"(6.44888889, -73.30694444)",724
boyacá,guicán,"(6.45397222, -72.40305556)",2827
arauca,tame,"(6.45619444, -71.74502778)",350
boyacá,guicán,"(6.45966667, -72.43086111)",2550
antioquia,san jerónimo,"(6.46261111, -75.75630556)",480
antioquia,san jerónimo,"(6.43333333, -75.71666667)",750
santander,socorro,"(6.43333333, -73.26666667)",1240
boyacá,san mateo,"(6.45, -72.61666667)",1100
santander,páramo,"(6.44472222, -73.15833333)",1201
boyacá,guicán,"(6.46347222, -72.40919444)",2963
antioquia,puerto berrío,"(6.465, -74.41222222)",150
antioquia,santo domingo,"(6.46830556, -75.16380556)",2100
santander,mogotes,"(6.47, -72.96888889)",1673
santander,socorro,"(6.47180556, -73.24858333)",1382
santander,valle de san josé,"(6.47861111, -73.07361111)",1223
antioquia,san roque,"(6.4875, -75.017)",820
antioquia,san roque,"(6.48358333, -74.83669444)",859
santander,macaravita,"(6.49394444, -72.58136111)",1856
antioquia,santo domingo,"(6.46666667, -75.13333333)",2210
boyacá,el espino,"(6.46666667, -72.5)",2560
santander,mogotes,"(6.47, -72.96888889)",1673
santander,capitanejo,"(6.48333333, -72.65)",1397
antioquia,puerto berrío,"(6.5, -74.4)",125
antioquia,santa fe de antioquia,"(6.50333333, -75.95583333)",1800
santander,pinchote,"(6.53222222, -73.19916667)",975
santander,capitanejo,"(6.51320806, -72.69545306)",1160
boyacá,covarachía,"(6.51475, -72.73294444)",2400
santander,capitanejo,"(6.52072222, -72.69661111)",1160
santander,mogotes,"(6.52916667, -73.00777778)",1700
antioquia,puerto berrío,"(6.5, -74.4)",125
antioquia,puerto berrío,"(6.5, -74.38333333)",108
santander,cimitarra,"(6.5, -74.05)",200
santander,cabrera (santander),"(6.5, -73.28333333)",595
santander,san gil,"(6.5, -73.11666667)",1145
antioquia,sopetrán,"(6.51666667, -75.81666667)",384
antioquia,sopetrán,"(6.51666667, -75.75)",680
chocó,bojayá (bellavista),"(6.53333333, -76.98333333)",20
santander,cimitarra,"(6.53388889, -74.0825)",118
antioquia,santa fe de antioquia,"(6.55497222, -75.86419444)",538
antioquia,urrao,"(6.53944444, -76.15861111)",2150
antioquia,santo domingo,"(6.54038889, -75.14675)",1440
boyacá,chiscas,"(6.54952778, -72.50472222)",2350
santander,palmar,"(6.54972222, -73.292)",940
santander,suratá,"(7.36583333, -72.9875)",1725
nariño,cumbal,"(0.84658333, -77.92122222)",442
antioquia,entrerrios,"(6.56322222, -75.51575)",2320
antioquia,sopetrán,"(6.53333333, -75.8)",450
santander,cimitarra,"(6.53333333, -74.11666667)",160
boyacá,chiscas,"(6.53333333, -72.5)",2480
santander,palmar,"(6.55, -73.28333333)",940
santander,capitanejo,"(6.55, -72.71666667)",1100
arauca,tame,"(6.57063889, -71.70763889)",300
santander,san gil,"(6.57666667, -73.10616667)",1408
antioquia,yolombó,"(6.59427778, -75.01091667)",965
santander,curití,"(6.59825, -73.05611111)",1626
antioquia,santa rosa de osos,"(6.602, -75.24652778)",1900
antioquia,puerto berrío,"(6.60305556, -74.39527778)",130
santander,cabrera (santander),"(6.60611111, -73.27611111)",630
antioquia,belmira,"(6.60916667, -75.66833333)",2540
antioquia,yolombó,"(6.62083333, -75.15166667)",158
santander,carcasí,"(6.6275, -72.63)",224
antioquia,puerto berrío,"(6.6, -74.45)",150
santander,curití,"(6.6, -73.06666667)",1505
cundinamarca,yacopí,"(5.48416667, -74.35458333)",1347
antioquia,vigia del fuerte,"(6.61666667, -76.75)",22
santander,curití,"(6.61666667, -73.06666667)",1630
antioquia,olaya,"(6.62872222, -75.81088889)",575
antioquia,yalí,"(6.63963889, -74.87544444)",970
antioquia,yondó (casabe),"(6.64277778, -74.37083333)",120
santander,barichara,"(6.64444444, -73.20277778)",1300
antioquia,abriaquí,"(6.6425, -76.075)",1920
santander,puerto parra,"(6.64555556, -74.06527778)",90
santander,puerto parra,"(6.64944444, -74.06138889)",168
santander,molagavita,"(6.67166667, -72.81138889)",2150
antioquia,gómez plata,"(6.67780556, -75.21980556)",1850
antioquia,giraldo,"(6.68805556, -75.95722222)",10
santander,cimitarra,"(6.63333333, -74.33333333)",121
santander,simacota,"(6.63333333, -73.8)",140
antioquia,yondó (casabe),"(6.65, -74.31666667)",100
antioquia,gómez plata,"(6.67780556, -75.21980556)",1850
santander,el carmen (santander),"(6.69638889, -73.51)",805
antioquia,yondó (casabe),"(6.73219444, -74.40694444)",149
antioquia,santa rosa de osos,"(6.70286111, -75.39222222)",2630
santander,málaga,"(6.70638889, -72.72972222)",2237
chocó,bahía solano (mutis),"(6.70655556, -77.49061111)",2
santander,zapatoca,"(6.70725, -73.27988889)",815
antioquia,puerto berrío,"(6.71583333, -74.41)",165
antioquia,liborina,"(6.72088889, -75.75805556)",1250
antioquia,giraldo,"(6.69944444, -75.9775)",20
antioquia,yolombó,"(6.7, -75.11666667)",980
antioquia,puerto berrío,"(6.7, -74.4)",140
santander,málaga,"(6.7, -72.73333333)",2160
santander,barichara,"(6.71666667, -73.26666667)",400
antioquia,buriticá,"(6.7295, -75.91297222)",1650
vichada,puerto carreño,"(5.85802778, -67.57605556)",62
santander,cepitá,"(6.75305556, -72.975)",600
santander,los santos,"(6.75916667, -73.09277778)",1460
antioquia,frontino,"(6.76333333, -76.13361111)",1370
santander,el carmen (santander),"(6.77194444, -73.61638889)",183
boyacá,moniquirá,"(5.85216667, -73.57641667)",1764
antioquia,sonsón,"(5.85552778, -74.84836111)",449
boyacá,tasco,"(5.86035722, -72.78479139)",2486
antioquia,sonsón,"(5.86141667, -74.76202778)",3347
antioquia,yondó (casabe),"(6.73333333, -74.4)",150
antioquia,cañasgordas,"(6.75, -76.03333333)",1200
santander,cepitá,"(6.75, -72.98333333)",615
chocó,el carmen (choco),"(5.85197222, -76.18080556)",2000
antioquia,cañasgordas,"(6.75802778, -76.02966667)",1294
santander,lebrija,"(7.13333333, -73.33333333)",1500
boyacá,duitama,"(5.86277778, -73.07577778)",2700
santander,gámbita,"(5.868, -73.38383333)",2100
boyacá,santa rosa de viterbo,"(5.86872222, -72.98577778)",2690
santander,jesús maría,"(5.87083333, -73.91333333)",2590
boyacá,moniquirá,"(5.87813889, -73.57025)",1720
santander,jesús maría,"(5.87333333, -73.78166667)",1920
antioquia,ciudad bolívar,"(5.87830556, -76.08433333)",2018
casanare,paz de ariporo,"(5.87852778, -71.88719444)",342
boyacá,puerto boyacá,"(5.88088889, -74.56834167)",179
antioquia,la unión (antioquia),"(5.88636111, -75.31863889)",2408
boyacá,duitama,"(5.89163889, -73.08238889)",3650
boyacá,paipa,"(5.89952778, -73.19619444)",2200
casanare,paz de ariporo,"(5.90000278, -72.00416667)",500
antioquia,puerto triunfo,"(5.89, -74.61333333)",145
chocó,el carmen (choco),"(5.862, -76.15205556)",2300
boyacá,duitama,"(5.90113889, -73.05833333)",3265
casanare,hato corozal,"(5.90655556, -71.90238889)",274
boyacá,betéitiva,"(5.90727778, -72.81061111)",2575
chocó,el carmen (choco),"(5.90852778, -76.14208333)",1850
santander,sucre (santander),"(5.91972222, -73.79638889)",2270
casanare,hato corozal,"(5.92102778, -71.90033333)",400
boyacá,moniquirá,"(5.92583333, -73.60916667)",1730
casanare,hato corozal,"(5.93425, -71.83391667)",350
antioquia,salgar,"(5.93491667, -75.86116667)",2100
antioquia,fredonia,"(5.93675, -75.68511111)",1650
santander,gámbita,"(5.94472222, -73.34361111)",1900
cauca,puracé (coconuco),"(2.20416667, -76.49744444)",2993
antioquia,carmen de viboral,"(5.95, -75.28333333)",2620
boyacá,puerto boyacá,"(5.95, -74.6)",350
santander,gámbita,"(5.95, -73.33333333)",1900
antioquia,montebello,"(5.95083333, -75.53683333)",560
santander,guavatá,"(5.96138889, -73.7025)",218
boyacá,cerinza,"(5.96225, -72.9385)",2643
antioquia,san francisco (antioquia),"(5.96380556, -75.10069444)",1325
antioquia,cocorná,"(5.97469444, -75.11713889)",285
boyacá,puerto boyacá,"(5.97833333, -74.56666667)",350
santander,bolivar (santander),"(5.98611111, -73.77083333)",2165
boyacá,socha,"(5.98858333, -72.64405556)",352
boyacá,paipa,"(5.96638889, -73.16389139)",2700
boyacá,cerinza,"(5.96225, -72.9385)",2643
boyacá,socha,"(5.96666667, -72.73333333)",2680
antioquia,venecia (antioquia),"(5.98333333, -75.81666667)",750
boyacá,paz de rio,"(5.98333333, -72.75)",2790
antioquia,puerto triunfo,"(5.98533333, -74.58794444)",144
santander,vélez,"(5.99722222, -73.67277778)",2170
antioquia,la unión (antioquia),"(5.99833333, -75.38138889)",2530
antioquia,san luis (antioquia),"(5.99836111, -74.93825)",980
boyacá,paz de rio,"(6.00027778, -72.78222222)",2200
vichada,la primavera,"(6.01030556, -69.84388889)",89
boyacá,socotá,"(6.01166667, -72.52927778)",3590
boyacá,belén (boyacá),"(6.01402778, -72.80605556)",2500
boyacá,tutazá,"(6.03361111, -72.85561111)",2833
antioquia,puerto nare,"(6.03672222, -74.63811111)",1638
antioquia,concordia (antioquia),"(6.03955556, -75.91952778)",26
vichada,la primavera,"(6.01027778, -69.8445)",75
antioquia,titiribí,"(6.01666667, -75.81666667)",1550
antioquia,caldas (antioquia),"(6.03333333, -75.61666667)",1700
antioquia,la ceja,"(6.03333333, -75.4)",2160
boyacá,socotá,"(6.03333333, -72.63333333)",2443
arauca,cravo norte,"(6.04177778, -69.63875)",72
tolima,ataco,"(3.45577778, -75.53636111)",699
meta,san juan de arama,"(3.45655556, -74.02994444)",650
valle del cauca,pradera,"(3.45972222, -76.25027778)",155
tolima,ataco,"(3.4635, -75.52325)",569
tolima,ataco,"(3.48136111, -75.46697222)",536
meta,fuente de oro,"(3.46666667, -73.63333333)",300
tolima,rioblanco,"(3.47188889, -75.66694444)",751
meta,granada (meta),"(3.47202778, -73.85783333)",520
tolima,rioblanco,"(3.47291667, -75.66555556)",765
tolima,rioblanco,"(3.47308333, -75.58094444)",563
valle del cauca,cali,"(3.47597222, -76.52302778)",983
valle del cauca,buenaventura,"(3.47969444, -77.20822222)",31
meta,granada (meta),"(3.46666667, -73.71666667)",220
meta,granada (meta),"(3.51633333, -73.71602778)",360
valle del cauca,palmira,"(3.51347222, -76.31488889)",118
valle del cauca,dagua,"(3.52625, -76.70888889)",1523
valle del cauca,palmira,"(3.52719444, -76.21083333)",119
tolima,rioblanco,"(3.52913889, -75.63141667)",1160
meta,el castillo,"(3.53094444, -73.90108333)",600
quindío,armenia (quindío),"(4.45472222, -75.76638889)",1229
cundinamarca,tocaima,"(4.45486111, -74.60852778)",361
tolima,ibagué,"(4.46313889, -75.26016667)",1509
cundinamarca,sibaté,"(4.46544444, -74.2675)",2650
tolima,ibagué,"(4.46666667, -75.30427778)",1920
valle del cauca,roldanillo,"(4.46666667, -76.11666667)",940
valle del cauca,roldanillo,"(4.46666667, -76.11666667)",915
valle del cauca,roldanillo,"(4.46666667, -76.08333333)",916
boyacá,tenza,"(5.08333333, -73.41666667)",1507
meta,villavicencio,"(4.07019444, -73.7625)",575
tolima,ibagué,"(4.54013889, -75.31452778)",1750
tolima,ibagué,"(4.54244444, -75.07538889)",1980
vichada,cumaribo,"(4.55394444, -70.93011111)",171
tolima,ibagué,"(4.55630556, -75.32163889)",1765
boyacá,páez,"(5.08138889, -73.03416667)",700
boyacá,campohermoso,"(5.08261111, -73.06841667)",873
vichada,cumaribo,"(4.55394444, -70.93011111)",171
caldas,palestina (caldas),"(5.08333333, -75.68333333)",933
cundinamarca,machetá,"(5.08333333, -73.61666667)",2400
cundinamarca,machetá,"(5.08333333, -73.56666667)",1630
boyacá,tenza,"(5.08333333, -73.41666667)",1507
boyacá,tenza,"(5.08333333, -73.41666667)",1507
boyacá,tenza,"(5.08333333, -73.41666667)",1507
cundinamarca,suesca,"(5.08902778, -73.80275)",2550
casanare,aguazul,"(5.09191667, -72.45858333)",190
boyacá,páez,"(5.09636111, -73.05322222)",1350
chocó,medio san juan,"(5.09766667, -76.6965)",62
guaviare,el retorno,"(2.37277778, -72.64)",150
boyacá,garagoa,"(5.10020556, -73.25025)",1686
boyacá,garagoa,"(5.10138889, -73.25141667)",1790
chocó,condoto,"(5.10552778, -76.683)",53
meta,la macarena,"(2.53333333, -73.93333333)",377
caldas,palestina (caldas),"(5.10852778, -75.70166667)",917
caldas,neira,"(5.19219444, -75.43577778)",2411
guaviare,san josé del guaviare,"(2.37427778, -73.16638889)",184
caldas,manizales,"(5.1, -75.51666667)",250
boyacá,páez,"(5.1, -73.05)",1475
cauca,puracé (coconuco),"(2.36666667, -76.36666667)",3305
cauca,el tambo (cauca),"(2.32836111, -76.84822222)",892
cauca,puracé (coconuco),"(2.38086111, -76.45477778)",2652
meta,la macarena,"(2.43838889, -73.93227778)",248
huila,gigante,"(2.38891667, -75.53808333)",850
cauca,puracé (coconuco),"(2.41427778, -76.50861111)",215
cauca,puracé (coconuco),"(2.41636111, -76.50877778)",221
huila,algeciras,"(2.43480556, -75.40088889)",1380
nariño,el charco,"(2.44188889, -78.09133333)",50
cauca,inzá,"(2.44683333, -76.16891667)",2750
cauca,popayán,"(2.44772222, -76.51397222)",2
cauca,popayán,"(2.44804111, -76.43574694)",2552
cauca,puracé (coconuco),"(2.38333333, -76.38333333)",3420
huila,gigante,"(2.4, -75.55)",1332
cauca,el tambo (cauca),"(2.41666667, -77.18333333)",500
cauca,popayán,"(2.43333333, -76.36666667)",1980
meta,la macarena,"(2.43838889, -73.93227778)",248
cauca,el tambo (cauca),"(2.45597222, -76.81111111)",1742
cauca,inzá,"(2.46061111, -76.05419444)",1600
boyacá,sogamoso,"(5.75988889, -72.90652778)",2490
meta,el dorado,"(3.74233333, -73.83469444)",800
cauca,popayán,"(2.49625, -76.63836111)",1742
cauca,inzá,"(2.501, -76.09516667)",2235
nariño,mosquera (nariño),"(2.50508333, -78.45452778)",10
cauca,guapi,"(2.50736111, -77.69325)",150
cauca,popayán,"(2.45, -76.55)",25
cauca,el tambo (cauca),"(2.46666667, -76.93333333)",2500
cauca,popayán,"(2.46666667, -76.66666667)",1730
cauca,popayán,"(2.5, -76.66666667)",1470
cauca,inzá,"(2.5, -76.2)",3500
huila,yaguará,"(2.501, -75.54958333)",620
cauca,totoró,"(2.50975, -76.28905556)",371
cauca,totoró,"(2.50975, -76.28905556)",371
huila,tesalia,"(2.51077778, -75.61566667)",900
cauca,totoró,"(2.51247222, -76.40377778)",2551
cauca,el tambo (cauca),"(2.51463889, -76.83133333)",1623
cauca,el tambo (cauca),"(2.53066667, -76.9865)",2268
cauca,totoró,"(2.54183333, -76.41880556)",2427
cauca,inzá,"(2.51666667, -76.23333333)",2700
antioquia,anorí,"(7.13333333, -75.21666667)",1225
meta,castilla la nueva,"(3.8, -73.58333333)",331
meta,castilla la nueva,"(3.8, -73.43333333)",230
cauca,popayán,"(2.53675, -76.55844444)",1744
nariño,taminango,"(1.51747222, -77.31033333)",760
tolima,ortega,"(3.81541667, -75.33005556)",450
guainía,inírida,"(3.86766667, -67.93169444)",100
tolima,purificación,"(3.84733333, -74.9365)",305
tolima,saldaña,"(3.85583333, -75.01572222)",332
tolima,purificación,"(3.85919444, -74.95911111)",314
meta,guamal (meta),"(3.87833333, -73.75861111)",525
valle del cauca,buga,"(3.87894444, -76.10055556)",2132
meta,castilla la nueva,"(3.83333333, -73.61666667)",358
tolima,purificación,"(3.86666667, -74.95)",310
tolima,purificación,"(3.86666667, -74.88333333)",360
meta,puerto lópez,"(3.86666667, -72.2)",200
valle del cauca,buenaventura,"(3.88333333, -77.06666667)",10
tolima,purificación,"(3.88333333, -74.78333333)",380
antioquia,marinilla,"(6.17266667, -75.33786111)",2100
meta,san carlos de guaroa,"(3.88333333, -73.34)",275
valle del cauca,buga,"(3.88825, -76.26419444)",111
valle del cauca,buga,"(3.88866667, -76.06583333)",2507
valle del cauca,yotoco,"(3.89088889, -76.35083333)",962
tolima,villarrica,"(3.89305556, -74.57080556)",1613
tolima,purificación,"(3.89791667, -74.77152778)",394
tolima,coyaima,"(4.65655556, -75.09694444)",330
bogotá,"bogota, d.c","(4.66111111, -74.13477778)",2580
tolima,venadillo,"(4.66380556, -74.91775)",430
guainía,barranco mina,"(3.88333333, -68.4)",96
tolima,cunday,"(3.89366667, -74.76494444)",422
bogotá,"bogota, d.c","(4.66166667, -74.15141944)",2543
chocó,istmina,"(4.66666667, -76.95)",16
cundinamarca,la calera,"(4.66494444, -73.85738889)",2943
bogotá,"bogota, d.c","(4.66754167, -74.06044722)",2562
cundinamarca,gachalá,"(4.67516667, -73.48213889)",23
valle del cauca,alcalá,"(4.67647222, -75.78630556)",1261
bogotá,"bogota, d.c","(4.684, -74.129)",2589
valle del cauca,toro,"(4.68486111, -76.03572222)",974
chocó,medio san juan,"(4.68819444, -76.93425)",28
chocó,istmina,"(4.66666667, -76.86666667)",18
chocó,sipí,"(4.66666667, -76.65)",110
bogotá,"bogota, d.c","(4.66666667, -74.06666667)",2570
cundinamarca,gachalá,"(4.66666667, -73.51666667)",1542
huila,nátaga,"(2.55144444, -75.8065)",1545
bogotá,"bogota, d.c","(4.68075, -74.12363889)",2550
casanare,sabanalarga (casanare),"(4.68333333, -73.03333333)",300
casanare,orocué,"(4.68333333, -71.58333333)",135
bogotá,"bogota, d.c","(4.68694444, -74.05422222)",2560
valle del cauca,cartago,"(4.68841667, -75.96166667)",940
cundinamarca,villagómez,"(5.27175, -74.19677778)",1575
cundinamarca,villapinzón,"(5.26375, -73.59086111)",2745
caldas,manzanares,"(5.26561111, -75.14408333)",1974
vichada,santa rosalía,"(5.27083333, -70.70558333)",108
caldas,anserma,"(5.27594444, -75.80013889)",217
caldas,marulanda,"(5.27816667, -75.26713889)",1700
risaralda,guática,"(5.27877778, -75.82786111)",1445
risaralda,guática,"(5.28080556, -75.82583333)",1478
risaralda,guática,"(5.26666667, -75.83333333)",1413
risaralda,quinchía,"(5.26666667, -75.66666667)",785
caldas,filadelfia,"(5.27988889, -75.64836111)",801
cundinamarca,la palma,"(5.25713889, -74.34569444)",940
caldas,neira,"(5.26830556, -75.66419444)",766
huila,campoalegre,"(2.56638889, -75.37427778)",740
risaralda,quinchía,"(5.28105556, -75.66497222)",797
boyacá,zetaquirá,"(5.28297222, -73.16927778)",1720
boyacá,aquitania,"(5.28333333, -72.98333333)",1725
boyacá,pajarito,"(5.28347222, -72.70194444)",770
tolima,mariquita,"(5.28569722, -74.90263889)",788
tolima,honda,"(5.28927778, -74.74608333)",222
risaralda,mistrató,"(5.29425, -75.87272222)",1483
caldas,marquetalia,"(5.29891667, -75.05747222)",1550
boyacá,pajarito,"(5.30294444, -72.70194444)",842
cundinamarca,lenguazaque,"(5.30319444, -73.70975)",2650
huila,algeciras,"(2.54477778, -75.30155556)",1260
cundinamarca,san cayetano (cundinamarca),"(5.3, -74.06666667)",2200
cauca,inzá,"(2.54819444, -76.06394444)",1800
huila,algeciras,"(2.55, -75.31666667)",1100
huila,algeciras,"(2.56172222, -75.23513889)",1750
cauca,páez (belalcázar),"(2.56588889, -75.92788889)",1462
meta,uribe,"(2.56283333, -74.10308333)",383
guaviare,san josé del guaviare,"(2.56888889, -72.75111111)",175
guaviare,san josé del guaviare,"(2.57344444, -72.63791667)",172
huila,hobo,"(2.57480556, -75.43552778)",636
cauca,inzá,"(2.58180556, -76.04680556)",1595
guaviare,san josé del guaviare,"(2.58333333, -72.86666667)",177
cauca,inzá,"(2.56666667, -76.06666667)",1550
cauca,páez (belalcázar),"(2.56666667, -75.98333333)",1260
huila,algeciras,"(2.56666667, -75.3)",1160
tolima,guamo,"(4.00883333, -74.98138889)",332
guaviare,san josé del guaviare,"(2.56666667, -72.63333333)",250
guaviare,san josé del guaviare,"(2.58333333, -72.78333333)",260
tolima,villahermosa,"(4.94019444, -75.08980556)",1135
cauca,cajibío,"(2.58475, -76.56183333)",185
meta,guamal (meta),"(3.92422222, -73.81458333)",800
huila,campoalegre,"(2.60305556, -75.41833333)",553
tolima,chaparral,"(3.90352778, -75.69316667)",215
cundinamarca,cabrera (cundinamarca),"(3.90586111, -74.50969444)",1950
tolima,san antonio,"(3.90691667, -75.48808333)",1448
tolima,saldaña,"(3.90827778, -75.10333333)",3594
tolima,suárez (tolima),"(3.91213889, -74.82244444)",849
tolima,ortega,"(3.92258333, -75.18305556)",382
tolima,saldaña,"(3.92313889, -75.02119444)",324
tolima,ataco,"(3.92805556, -75.37916667)",468
guaviare,san josé del guaviare,"(2.58333333, -72.78333333)",210
tolima,cunday,"(3.9, -74.76666667)",384
valle del cauca,buga,"(3.91666667, -76.3)",10
tolima,san antonio,"(3.91666667, -75.48333333)",1500
tolima,villarrica,"(3.93291667, -74.60927778)",136
meta,puerto lópez,"(3.95608333, -72.76572222)",225
tolima,ortega,"(3.93916667, -75.21994444)",388
tolima,suárez (tolima),"(3.94722222, -74.85688889)",311
valle del cauca,buenaventura,"(3.95355556, -76.99044444)",66
cundinamarca,cabrera (cundinamarca),"(3.96472222, -74.44375)",250
cundinamarca,gachalá,"(4.69052778, -73.52291667)",1733
tolima,saldaña,"(3.93333333, -75.03333333)",310
tolima,saldaña,"(3.93333333, -75.01666667)",311
cundinamarca,cabrera (cundinamarca),"(3.95, -74.48333333)",1950
cundinamarca,cabrera (cundinamarca),"(3.96666667, -74.45)",250
meta,san carlos de guaroa,"(3.96666667, -73.4)",300
bogotá,"bogota, d.c","(4.69102778, -74.13441667)",2545
cundinamarca,mosquera (cundinamarca),"(4.69141667, -74.209)",2543
casanare,orocué,"(4.69288889, -71.56169444)",134
tolima,venadillo,"(4.69205556, -74.95813889)",420
bogotá,"bogota, d.c","(4.701125, -74.07030556)",2520
tolima,santa isabel,"(4.70175, -75.13183333)",2817
cundinamarca,junín,"(4.70486111, -73.66527778)",2878
cundinamarca,gachalá,"(4.70491667, -73.44488889)",23
bogotá,"bogota, d.c","(4.69816667, -74.03683333)",2575
tolima,santa isabel,"(4.7, -75.1)",2500
cundinamarca,mosquera (cundinamarca),"(4.7, -74.21666667)",2543
bogotá,"bogota, d.c","(4.7, -74.16666667)",2511
bogotá,"bogota, d.c","(4.7, -74.15)",2546
bogotá,"bogota, d.c","(4.7, -74.05)",2580
cundinamarca,gachalá,"(4.70427778, -73.4775)",1684
bogotá,"bogota, d.c","(4.70558333, -74.15066667)",2546
risaralda,pereira,"(4.71083333, -75.75769444)",1239
tolima,santa isabel,"(4.71186111, -75.09445556)",2288
cundinamarca,gachalá,"(4.71269444, -73.52069444)",1650
risaralda,pereira,"(4.71419444, -75.71375)",1401
bogotá,"bogota, d.c","(4.70558333, -74.15066667)",2547
boyacá,tibaná,"(5.31527778, -73.39594444)",2115
boyacá,turmequé,"(5.31775, -73.49636111)",2400
risaralda,guática,"(5.31786111, -75.78766667)",2173
caldas,victoria,"(5.32108333, -74.91463889)",760
cundinamarca,lenguazaque,"(5.32825, -73.69972222)",2590
caldas,victoria,"(5.32841667, -74.94197222)",189
cundinamarca,carmen de carupa,"(5.32938889, -73.85005556)",3167
cundinamarca,ubaté,"(5.32733333, -73.79144444)",2555
boyacá,pajarito,"(5.33333333, -72.71666667)",842
caldas,belalcazar,"(4.98794444, -75.85891667)",947
chocó,el cantón del san pablo (managrú),"(5.33416667, -76.72813889)",64
cundinamarca,la palma,"(5.34936111, -74.38911111)",1462
vichada,santa rosalía,"(5.35194444, -70.67827778)",106
cundinamarca,caparrapí,"(5.35219444, -74.49477778)",1270
boyacá,nuevo colón,"(5.35269444, -73.45377778)",2438
vichada,cumaribo,"(5.35313889, -67.85825)",167
vichada,cumaribo,"(5.3535, -67.85430556)",76
cundinamarca,carmen de carupa,"(5.34722222, -73.89833333)",2970
boyacá,rondón,"(5.35841667, -73.20361111)",2120
boyacá,aquitania,"(5.36666667, -72.91666667)",2575
boyacá,rondón,"(5.35, -73.21666667)",2160
casanare,yopal,"(5.35, -72.4)",320
cundinamarca,carmen de carupa,"(5.35127778, -73.90447222)",2970
vichada,santa rosalía,"(5.36666667, -70.66666667)",106
antioquia,rionegro (antioquia),"(6.14347222, -75.37994444)",820
cauca,cajibío,"(2.60655556, -76.75608333)",1767
cesar,valledupar,"(10.38411111, -73.23247222)",113
huila,algeciras,"(2.61527778, -75.20669444)",1525
cauca,el tambo (cauca),"(2.62280556, -76.89511111)",2502
cauca,silvia,"(2.62338889, -76.35855556)",257
cauca,silvia,"(2.62466667, -76.34913889)",2446
cauca,el tambo (cauca),"(2.62558333, -76.85361111)",2171
cauca,piendamó,"(2.62588889, -76.522)",1796
huila,yaguará,"(2.63061111, -75.55558333)",585
huila,yaguará,"(2.63691667, -75.58091667)",650
cauca,el tambo (cauca),"(2.63961111, -77.15494444)",230
cauca,el tambo (cauca),"(2.64066667, -76.90902778)",2658
cauca,piendamó,"(2.64269444, -76.53611111)",1872
huila,yaguará,"(2.61666667, -75.48333333)",533
cauca,el tambo (cauca),"(2.65, -77.28333333)",550
huila,nátaga,"(2.65238889, -75.75894444)",1950
cauca,páez (belalcázar),"(2.657, -75.97497222)",1439
cauca,páez (belalcázar),"(2.66572222, -75.77566667)",1400
huila,yaguará,"(2.66961111, -75.52886111)",600
meta,puerto lópez,"(3.98463889, -72.97122222)",183
huila,yaguará,"(2.65, -75.56666667)",650
huila,campoalegre,"(2.65, -75.4)",600
huila,campoalegre,"(2.65, -75.36666667)",500
huila,campoalegre,"(2.65, -75.35)",500
huila,íquira,"(2.65219444, -75.62925)",195
cauca,el tambo (cauca),"(2.66666667, -77.26666667)",200
huila,teruel,"(2.66666667, -75.56666667)",900
tolima,san luis (tolima),"(3.98333333, -75.11666667)",345
